,window_id,window_start,window_end,station_id,temp_media,viento_max,lluvia_acum,altitud,zona_climatica,alerta_viento,alerta_lluvia,alerta_calor
0,ventana_1,2024-01-01T08:00:00,2024-01-01T08:01:00,WST001,19.12,13.41,1.04,462,Atlantic,False,False,False
1,ventana_1,2024-01-01T08:00:00,2024-01-01T08:01:00,WST006,20.17,6.22,2.12,734,Atlantic,False,False,False
2,ventana_2,2024-01-01T08:01:00,2024-01-01T08:02:00,WST007,12.73,14.26,0.53,560,Continental,False,False,False
3,ventana_3,2024-01-01T08:02:00,2024-01-01T08:03:00,WST005,13.26,11.63,0.15,635,Continental,False,False,False
4,ventana_4,2024-01-01T08:03:00,2024-01-01T08:04:00,WST004,25.53,9.29,0.49,1416,Mediterranean,False,False,False
5,ventana_4,2024-01-01T08:03:00,2024-01-01T08:04:00,WST006,11.48,5.44,0.15,734,Atlantic,False,False,False
6,ventana_5,2024-01-01T08:04:00,2024-01-01T08:05:00,WST003,14.07,8.04,0.45,490,Atlantic,False,False,False
7,ventana_6,2024-01-01T08:05:00,2024-01-01T08:06:00,WST007,14.28,8.62,0.09,560,Continental,False,False,False
8,ventana_7,2024-01-01T08:06:00,2024-01-01T08:07:00,WST006,19.19,12.34,4.56,734,Atlantic,False,False,False
9,ventana_7,2024-01-01T08:06:00,2024-01-01T08:07:00,WST007,17.44,11.18,6.72,560,Continental,False,False,False
10,ventana_8,2024-01-01T08:07:00,2024-01-01T08:08:00,WST002,18.33,14.81,0.32,384,Continental,False,False,False
11,ventana_9,2024-01-01T08:08:00,2024-01-01T08:09:00,WST001,17.02,12.73,0.67,462,Atlantic,False,False,False
12,ventana_10,2024-01-01T08:09:00,2024-01-01T08:10:00,WST006,17.55,12.9,2.59,734,Atlantic,False,False,False
13,ventana_10,2024-01-01T08:09:00,2024-01-01T08:10:00,WST007,14.14,8.93,0.84,560,Continental,False,False,False
14,ventana_11,2024-01-01T08:10:00,2024-01-01T08:11:00,WST006,19.91,10.68,2.79,734,Atlantic,False,False,False
15,ventana_12,2024-01-01T08:11:00,2024-01-01T08:12:00,WST001,13.82,9.72,4.67,462,Atlantic,False,False,False
16,ventana_13,2024-01-01T08:12:00,2024-01-01T08:13:00,WST003,29.4,6.9,0.14,490,Atlantic,False,False,False
17,ventana_13,2024-01-01T08:12:00,2024-01-01T08:13:00,WST006,5.13,9.74,0.31,734,Atlantic,False,False,False
18,ventana_14,2024-01-01T08:13:00,2024-01-01T08:14:00,WST006,13.82,10.72,6.11,734,Atlantic,False,False,False
19,ventana_15,2024-01-01T08:14:00,2024-01-01T08:15:00,WST005,24.03,16.72,0.9,635,Continental,False,False,False
20,ventana_16,2024-01-01T08:15:00,2024-01-01T08:16:00,WST002,22.54,7.78,2.0,384,Continental,False,False,False
21,ventana_16,2024-01-01T08:15:00,2024-01-01T08:16:00,WST006,22.91,11.02,5.11,734,Atlantic,False,False,False
22,ventana_17,2024-01-01T08:16:00,2024-01-01T08:17:00,WST006,20.51,9.24,1.31,734,Atlantic,False,False,False
23,ventana_18,2024-01-01T08:17:00,2024-01-01T08:18:00,WST001,26.49,14.4,0.32,462,Atlantic,False,False,False
24,ventana_19,2024-01-01T08:18:00,2024-01-01T08:19:00,WST003,17.77,5.23,2.53,490,Atlantic,False,False,False
25,ventana_19,2024-01-01T08:18:00,2024-01-01T08:19:00,WST007,14.4,16.13,0.17,560,Continental,False,False,False
26,ventana_20,2024-01-01T08:19:00,2024-01-01T08:20:00,WST002,13.42,9.13,1.23,384,Continental,False,False,False
27,ventana_21,2024-01-01T08:20:00,2024-01-01T08:21:00,WST005,26.86,11.19,1.61,635,Continental,False,False,False
28,ventana_22,2024-01-01T08:21:00,2024-01-01T08:22:00,WST001,17.12,6.89,3.6,462,Atlantic,False,False,False
29,ventana_22,2024-01-01T08:21:00,2024-01-01T08:22:00,WST002,11.29,9.74,1.36,384,Continental,False,False,False
30,ventana_23,2024-01-01T08:22:00,2024-01-01T08:23:00,WST007,28.62,11.8,0.36,560,Continental,False,False,False
31,ventana_24,2024-01-01T08:23:00,2024-01-01T08:24:00,WST004,15.08,8.72,5.14,1416,Mediterranean,False,False,False
32,ventana_25,2024-01-01T08:24:00,2024-01-01T08:25:00,WST002,19.535,11.71,1.6900000000000002,384,Continental,False,False,False
33,ventana_26,2024-01-01T08:25:00,2024-01-01T08:26:00,WST005,22.65,15.45,1.56,635,Continental,False,False,False
34,ventana_27,2024-01-01T08:26:00,2024-01-01T08:27:00,WST005,22.13,11.71,2.44,635,Continental,False,False,False
35,ventana_28,2024-01-01T08:27:00,2024-01-01T08:28:00,WST002,18.03,12.73,0.12,384,Continental,False,False,False
36,ventana_28,2024-01-01T08:27:00,2024-01-01T08:28:00,WST003,19.78,8.81,1.72,490,Atlantic,False,False,False
37,ventana_29,2024-01-01T08:28:00,2024-01-01T08:29:00,WST006,12.04,7.34,3.13,734,Atlantic,False,False,False
38,ventana_30,2024-01-01T08:29:00,2024-01-01T08:30:00,WST005,19.74,12.64,0.94,635,Continental,False,False,False
39,ventana_31,2024-01-01T08:30:00,2024-01-01T08:31:00,WST005,13.33,10.89,0.56,635,Continental,False,False,False
40,ventana_31,2024-01-01T08:30:00,2024-01-01T08:31:00,WST007,11.31,12.9,0.98,560,Continental,False,False,False
41,ventana_32,2024-01-01T08:31:00,2024-01-01T08:32:00,WST002,18.4,13.87,0.69,384,Continental,False,False,False
42,ventana_33,2024-01-01T08:32:00,2024-01-01T08:33:00,WST001,21.17,7.92,0.81,462,Atlantic,False,False,False
43,ventana_34,2024-01-01T08:33:00,2024-01-01T08:34:00,WST003,22.05,11.04,2.53,490,Atlantic,False,False,False
44,ventana_34,2024-01-01T08:33:00,2024-01-01T08:34:00,WST004,20.98,9.55,2.42,1416,Mediterranean,False,False,False
45,ventana_35,2024-01-01T08:34:00,2024-01-01T08:35:00,WST003,18.71,6.3,0.37,490,Atlantic,False,False,False
46,ventana_36,2024-01-01T08:35:00,2024-01-01T08:36:00,WST002,17.31,10.19,0.22,384,Continental,False,False,False
47,ventana_37,2024-01-01T08:36:00,2024-01-01T08:37:00,WST002,15.81,9.94,3.55,384,Continental,False,False,False
48,ventana_37,2024-01-01T08:36:00,2024-01-01T08:37:00,WST004,26.35,12.19,1.53,1416,Mediterranean,False,False,False
49,ventana_38,2024-01-01T08:37:00,2024-01-01T08:38:00,WST007,25.64,11.34,3.27,560,Continental,False,False,False
50,ventana_39,2024-01-01T08:38:00,2024-01-01T08:39:00,WST001,31.1,9.94,0.67,462,Atlantic,False,False,False
51,ventana_40,2024-01-01T08:39:00,2024-01-01T08:40:00,WST004,26.56,10.68,0.67,1416,Mediterranean,False,False,False
52,ventana_40,2024-01-01T08:39:00,2024-01-01T08:40:00,WST006,27.27,11.24,1.56,734,Atlantic,False,False,False
53,ventana_41,2024-01-01T08:40:00,2024-01-01T08:41:00,WST001,22.56,11.81,1.58,462,Atlantic,False,False,False
54,ventana_42,2024-01-01T08:41:00,2024-01-01T08:42:00,WST002,27.25,12.04,2.15,384,Continental,False,False,False
55,ventana_43,2024-01-01T08:42:00,2024-01-01T08:43:00,WST004,19.22,13.41,0.24,1416,Mediterranean,False,False,False
56,ventana_43,2024-01-01T08:42:00,2024-01-01T08:43:00,WST007,16.31,12.01,1.27,560,Continental,False,False,False
57,ventana_44,2024-01-01T08:43:00,2024-01-01T08:44:00,WST007,19.36,10.9,0.46,560,Continental,False,False,False
58,ventana_45,2024-01-01T08:44:00,2024-01-01T08:45:00,WST004,13.04,17.42,5.5,1416,Mediterranean,False,False,False
59,ventana_46,2024-01-01T08:45:00,2024-01-01T08:46:00,WST003,8.86,9.39,1.34,490,Atlantic,False,False,False
60,ventana_46,2024-01-01T08:45:00,2024-01-01T08:46:00,WST006,12.02,15.18,0.1,734,Atlantic,False,False,False
61,ventana_47,2024-01-01T08:46:00,2024-01-01T08:47:00,WST003,11.5,9.5,0.9,490,Atlantic,False,False,False
62,ventana_48,2024-01-01T08:47:00,2024-01-01T08:48:00,WST004,21.93,11.26,2.47,1416,Mediterranean,False,False,False
63,ventana_49,2024-01-01T08:48:00,2024-01-01T08:49:00,WST001,21.27,8.64,1.63,462,Atlantic,False,False,False
64,ventana_49,2024-01-01T08:48:00,2024-01-01T08:49:00,WST006,15.67,12.02,5.0,734,Atlantic,False,False,False
65,ventana_50,2024-01-01T08:49:00,2024-01-01T08:50:00,WST006,17.77,7.26,3.64,734,Atlantic,False,False,False
66,ventana_51,2024-01-01T08:50:00,2024-01-01T08:51:00,WST006,13.13,9.56,2.57,734,Atlantic,False,False,False
67,ventana_52,2024-01-01T08:51:00,2024-01-01T08:52:00,WST001,21.88,12.18,6.85,462,Atlantic,False,False,False
68,ventana_52,2024-01-01T08:51:00,2024-01-01T08:52:00,WST003,14.84,12.44,6.92,490,Atlantic,False,False,False
69,ventana_53,2024-01-01T08:52:00,2024-01-01T08:53:00,WST001,20.18,10.32,0.24,462,Atlantic,False,False,False
70,ventana_54,2024-01-01T08:53:00,2024-01-01T08:54:00,WST003,4.8,3.1,3.67,490,Atlantic,False,False,False
71,ventana_55,2024-01-01T08:54:00,2024-01-01T08:55:00,WST001,18.29,11.09,1.13,462,Atlantic,False,False,False
72,ventana_55,2024-01-01T08:54:00,2024-01-01T08:55:00,WST002,13.88,7.19,2.67,384,Continental,False,False,False
73,ventana_56,2024-01-01T08:55:00,2024-01-01T08:56:00,WST005,12.4,10.06,1.88,635,Continental,False,False,False
74,ventana_57,2024-01-01T08:56:00,2024-01-01T08:57:00,WST002,22.06,7.94,2.24,384,Continental,False,False,False
75,ventana_58,2024-01-01T08:57:00,2024-01-01T08:58:00,WST002,22.97,8.82,3.88,384,Continental,False,False,False
76,ventana_58,2024-01-01T08:57:00,2024-01-01T08:58:00,WST007,15.44,10.33,3.27,560,Continental,False,False,False
77,ventana_59,2024-01-01T08:58:00,2024-01-01T08:59:00,WST005,19.16,14.15,0.54,635,Continental,False,False,False
78,ventana_60,2024-01-01T08:59:00,2024-01-01T09:00:00,WST003,12.86,6.73,0.05,490,Atlantic,False,False,False
79,ventana_61,2024-01-01T09:00:00,2024-01-01T09:01:00,WST001,15.49,8.85,6.83,462,Atlantic,False,False,False
80,ventana_61,2024-01-01T09:00:00,2024-01-01T09:01:00,WST004,12.09,7.78,0.41,1416,Mediterranean,False,False,False
81,ventana_62,2024-01-01T09:01:00,2024-01-01T09:02:00,WST006,16.04,5.47,2.4,734,Atlantic,False,False,False
82,ventana_63,2024-01-01T09:02:00,2024-01-01T09:03:00,WST005,9.03,8.77,0.85,635,Continental,False,False,False
83,ventana_64,2024-01-01T09:03:00,2024-01-01T09:04:00,WST005,14.74,12.62,2.37,635,Continental,False,False,False
84,ventana_64,2024-01-01T09:03:00,2024-01-01T09:04:00,WST006,20.28,10.67,1.59,734,Atlantic,False,False,False
85,ventana_65,2024-01-01T09:04:00,2024-01-01T09:05:00,WST001,19.21,9.69,5.89,462,Atlantic,False,False,False
86,ventana_66,2024-01-01T09:05:00,2024-01-01T09:06:00,WST001,14.99,15.06,2.09,462,Atlantic,False,False,False
87,ventana_67,2024-01-01T09:06:00,2024-01-01T09:07:00,WST001,14.4,9.78,0.81,462,Atlantic,False,False,False
88,ventana_67,2024-01-01T09:06:00,2024-01-01T09:07:00,WST006,18.71,8.15,5.26,734,Atlantic,False,False,False
89,ventana_68,2024-01-01T09:07:00,2024-01-01T09:08:00,WST001,13.34,10.4,3.14,462,Atlantic,False,False,False
90,ventana_69,2024-01-01T09:08:00,2024-01-01T09:09:00,WST007,19.43,15.65,1.15,560,Continental,False,False,False
91,ventana_70,2024-01-01T09:09:00,2024-01-01T09:10:00,WST003,13.645,13.09,2.94,490,Atlantic,False,False,False
92,ventana_71,2024-01-01T09:10:00,2024-01-01T09:11:00,WST005,23.28,11.29,0.06,635,Continental,False,False,False
93,ventana_72,2024-01-01T09:11:00,2024-01-01T09:12:00,WST005,17.32,2.91,0.55,635,Continental,False,False,False
94,ventana_73,2024-01-01T09:12:00,2024-01-01T09:13:00,WST006,26.83,11.56,2.8,734,Atlantic,False,False,False
95,ventana_74,2024-01-01T09:13:00,2024-01-01T09:14:00,WST004,12.32,8.04,4.0,1416,Mediterranean,False,False,False
96,ventana_75,2024-01-01T09:14:00,2024-01-01T09:15:00,WST007,22.09,11.58,2.04,560,Continental,False,False,False
97,ventana_76,2024-01-01T09:15:00,2024-01-01T09:16:00,WST003,19.875,12.39,4.47,490,Atlantic,False,False,False
98,ventana_77,2024-01-01T09:16:00,2024-01-01T09:17:00,WST007,11.24,12.32,0.18,560,Continental,False,False,False
99,ventana_78,2024-01-01T09:17:00,2024-01-01T09:18:00,WST006,15.75,12.28,1.11,734,Atlantic,False,False,False
100,ventana_79,2024-01-01T09:18:00,2024-01-01T09:19:00,WST004,5.87,7.28,3.55,1416,Mediterranean,False,False,False
101,ventana_79,2024-01-01T09:18:00,2024-01-01T09:19:00,WST005,25.89,14.59,0.25,635,Continental,False,False,False
102,ventana_80,2024-01-01T09:19:00,2024-01-01T09:20:00,WST002,27.78,10.71,0.55,384,Continental,False,False,False
103,ventana_81,2024-01-01T09:20:00,2024-01-01T09:21:00,WST002,18.22,7.09,3.91,384,Continental,False,False,False
104,ventana_82,2024-01-01T09:21:00,2024-01-01T09:22:00,WST003,11.9,16.81,0.56,490,Atlantic,False,False,False
105,ventana_82,2024-01-01T09:21:00,2024-01-01T09:22:00,WST006,18.13,6.82,0.06,734,Atlantic,False,False,False
106,ventana_83,2024-01-01T09:22:00,2024-01-01T09:23:00,WST002,16.72,11.53,1.42,384,Continental,False,False,False
107,ventana_84,2024-01-01T09:23:00,2024-01-01T09:24:00,WST002,12.98,11.08,0.47,384,Continental,False,False,False
108,ventana_85,2024-01-01T09:24:00,2024-01-01T09:25:00,WST005,24.34,7.39,3.1,635,Continental,False,False,False
109,ventana_85,2024-01-01T09:24:00,2024-01-01T09:25:00,WST006,23.07,9.52,0.7,734,Atlantic,False,False,False
110,ventana_86,2024-01-01T09:25:00,2024-01-01T09:26:00,WST001,17.03,16.73,2.01,462,Atlantic,False,False,False
111,ventana_87,2024-01-01T09:26:00,2024-01-01T09:27:00,WST005,11.21,8.44,0.41,635,Continental,False,False,False
112,ventana_88,2024-01-01T09:27:00,2024-01-01T09:28:00,WST002,16.46,6.66,0.89,384,Continental,False,False,False
113,ventana_88,2024-01-01T09:27:00,2024-01-01T09:28:00,WST005,17.28,10.4,0.29,635,Continental,False,False,False
114,ventana_89,2024-01-01T09:28:00,2024-01-01T09:29:00,WST004,11.69,6.11,5.79,1416,Mediterranean,False,False,False
115,ventana_90,2024-01-01T09:29:00,2024-01-01T09:30:00,WST005,18.4,12.76,0.01,635,Continental,False,False,False
116,ventana_91,2024-01-01T09:30:00,2024-01-01T09:31:00,WST005,14.58,11.96,1.37,635,Continental,False,False,False
117,ventana_91,2024-01-01T09:30:00,2024-01-01T09:31:00,WST007,13.11,10.62,0.35,560,Continental,False,False,False
118,ventana_92,2024-01-01T09:31:00,2024-01-01T09:32:00,WST005,15.01,7.51,0.69,635,Continental,False,False,False
119,ventana_93,2024-01-01T09:32:00,2024-01-01T09:33:00,WST003,12.75,9.23,0.06,490,Atlantic,False,False,False
120,ventana_94,2024-01-01T09:33:00,2024-01-01T09:34:00,WST003,13.02,4.46,0.14,490,Atlantic,False,False,False
121,ventana_94,2024-01-01T09:33:00,2024-01-01T09:34:00,WST004,17.81,12.35,0.04,1416,Mediterranean,False,False,False
122,ventana_95,2024-01-01T09:34:00,2024-01-01T09:35:00,WST003,10.74,4.44,2.08,490,Atlantic,False,False,False
123,ventana_96,2024-01-01T09:35:00,2024-01-01T09:36:00,WST005,21.63,7.25,0.18,635,Continental,False,False,False
124,ventana_97,2024-01-01T09:36:00,2024-01-01T09:37:00,WST002,9.47,7.89,1.9,384,Continental,False,False,False
125,ventana_97,2024-01-01T09:36:00,2024-01-01T09:37:00,WST004,23.21,12.76,0.95,1416,Mediterranean,False,False,False
126,ventana_98,2024-01-01T09:37:00,2024-01-01T09:38:00,WST002,15.63,6.66,0.25,384,Continental,False,False,False
127,ventana_99,2024-01-01T09:38:00,2024-01-01T09:39:00,WST007,14.87,15.31,0.88,560,Continental,False,False,False
128,ventana_100,2024-01-01T09:39:00,2024-01-01T09:40:00,WST001,2.91,11.83,10.43,462,Atlantic,False,True,False
129,ventana_100,2024-01-01T09:39:00,2024-01-01T09:40:00,WST002,21.35,11.33,2.48,384,Continental,False,False,False
130,ventana_101,2024-01-01T09:40:00,2024-01-01T09:41:00,WST004,16.27,9.25,2.82,1416,Mediterranean,False,False,False
131,ventana_102,2024-01-01T09:41:00,2024-01-01T09:42:00,WST005,24.18,4.99,0.67,635,Continental,False,False,False
132,ventana_103,2024-01-01T09:42:00,2024-01-01T09:43:00,WST003,10.96,12.98,0.2,490,Atlantic,False,False,False
133,ventana_103,2024-01-01T09:42:00,2024-01-01T09:43:00,WST006,23.98,6.57,0.51,734,Atlantic,False,False,False
134,ventana_104,2024-01-01T09:43:00,2024-01-01T09:44:00,WST001,14.48,10.71,3.95,462,Atlantic,False,False,False
135,ventana_105,2024-01-01T09:44:00,2024-01-01T09:45:00,WST003,8.61,11.39,0.96,490,Atlantic,False,False,False
136,ventana_106,2024-01-01T09:45:00,2024-01-01T09:46:00,WST003,16.95,9.8,0.92,490,Atlantic,False,False,False
137,ventana_106,2024-01-01T09:45:00,2024-01-01T09:46:00,WST005,22.2,7.84,1.35,635,Continental,False,False,False
138,ventana_107,2024-01-01T09:46:00,2024-01-01T09:47:00,WST006,22.83,5.8,7.94,734,Atlantic,False,False,False
139,ventana_108,2024-01-01T09:47:00,2024-01-01T09:48:00,WST005,21.18,8.26,0.97,635,Continental,False,False,False
140,ventana_109,2024-01-01T09:48:00,2024-01-01T09:49:00,WST004,30.34,12.94,0.13,1416,Mediterranean,False,False,False
141,ventana_109,2024-01-01T09:48:00,2024-01-01T09:49:00,WST006,15.36,11.79,0.4,734,Atlantic,False,False,False
142,ventana_110,2024-01-01T09:49:00,2024-01-01T09:50:00,WST007,11.39,11.06,1.4,560,Continental,False,False,False
143,ventana_111,2024-01-01T09:50:00,2024-01-01T09:51:00,WST007,13.64,7.05,1.71,560,Continental,False,False,False
144,ventana_112,2024-01-01T09:51:00,2024-01-01T09:52:00,WST005,26.22,12.97,1.25,635,Continental,False,False,False
145,ventana_112,2024-01-01T09:51:00,2024-01-01T09:52:00,WST006,19.12,9.6,4.55,734,Atlantic,False,False,False
146,ventana_113,2024-01-01T09:52:00,2024-01-01T09:53:00,WST007,18.87,13.32,3.44,560,Continental,False,False,False
147,ventana_114,2024-01-01T09:53:00,2024-01-01T09:54:00,WST007,22.01,9.59,1.6,560,Continental,False,False,False
148,ventana_115,2024-01-01T09:54:00,2024-01-01T09:55:00,WST003,17.65,7.8,1.69,490,Atlantic,False,False,False
149,ventana_115,2024-01-01T09:54:00,2024-01-01T09:55:00,WST007,5.14,12.33,3.13,560,Continental,False,False,False
150,ventana_116,2024-01-01T09:55:00,2024-01-01T09:56:00,WST004,21.72,5.39,4.73,1416,Mediterranean,False,False,False
151,ventana_117,2024-01-01T09:56:00,2024-01-01T09:57:00,WST007,16.71,11.56,5.1,560,Continental,False,False,False
152,ventana_118,2024-01-01T09:57:00,2024-01-01T09:58:00,WST001,23.28,13.18,0.97,462,Atlantic,False,False,False
153,ventana_118,2024-01-01T09:57:00,2024-01-01T09:58:00,WST005,21.32,6.41,1.47,635,Continental,False,False,False
154,ventana_119,2024-01-01T09:58:00,2024-01-01T09:59:00,WST007,18.69,15.62,4.36,560,Continental,False,False,False
155,ventana_120,2024-01-01T09:59:00,2024-01-01T10:00:00,WST007,22.4,11.11,0.24,560,Continental,False,False,False
156,ventana_121,2024-01-01T10:00:00,2024-01-01T10:01:00,WST004,9.38,13.66,0.35,1416,Mediterranean,False,False,False
157,ventana_121,2024-01-01T10:00:00,2024-01-01T10:01:00,WST006,15.48,11.54,0.05,734,Atlantic,False,False,False
158,ventana_122,2024-01-01T10:01:00,2024-01-01T10:02:00,WST007,12.62,2.23,3.98,560,Continental,False,False,False
159,ventana_123,2024-01-01T10:02:00,2024-01-01T10:03:00,WST006,22.0,10.6,0.94,734,Atlantic,False,False,False
160,ventana_124,2024-01-01T10:03:00,2024-01-01T10:04:00,WST005,15.34,5.96,0.21,635,Continental,False,False,False
161,ventana_124,2024-01-01T10:03:00,2024-01-01T10:04:00,WST006,12.27,7.82,3.28,734,Atlantic,False,False,False
162,ventana_125,2024-01-01T10:04:00,2024-01-01T10:05:00,WST001,24.52,4.07,1.19,462,Atlantic,False,False,False
163,ventana_126,2024-01-01T10:05:00,2024-01-01T10:06:00,WST002,21.92,5.64,1.88,384,Continental,False,False,False
164,ventana_127,2024-01-01T10:06:00,2024-01-01T10:07:00,WST005,19.11,4.56,6.16,635,Continental,False,False,False
165,ventana_127,2024-01-01T10:06:00,2024-01-01T10:07:00,WST007,17.08,13.92,1.98,560,Continental,False,False,False
166,ventana_128,2024-01-01T10:07:00,2024-01-01T10:08:00,WST007,14.26,8.9,0.13,560,Continental,False,False,False
167,ventana_129,2024-01-01T10:08:00,2024-01-01T10:09:00,WST007,15.98,9.42,0.38,560,Continental,False,False,False
168,ventana_130,2024-01-01T10:09:00,2024-01-01T10:10:00,WST005,15.29,13.3,0.36,635,Continental,False,False,False
169,ventana_130,2024-01-01T10:09:00,2024-01-01T10:10:00,WST006,19.58,12.99,0.67,734,Atlantic,False,False,False
